question_list,clean_question,label
"""ok pakte apa yang kamu sarankan?""",ok pakte sarankan,0
"""bagaimana cara untuk pemutusan jaringan?""",pemutusan jaringan,0
"""bagaimana cari downgrade?""",cari downgrade,0
"""saya mau cek jumlah perangkat yg terhubung ke modem saya""",cek perangkat yg terhubung modem,0
"""mau ubah status modem jadi buy min""",ubah status modem buy,0
"""bagaimana cara ubah jaringan saya dengan mode bridge""",ubah jaringan mode bridge,0
"""untuk pengecekan jaringan sudah tercover atau belum bagaimana ya?""",pengecekan jaringan tercover,0
"""Kenapa My Biznet saya ada 2 akun atas nama orang lain?""",my biznet akun nama orang,0
"""fungsi parental control modem dan caranya""",fungsi parental control modem,0
"""sudah bayar tapi masa aktif gak sesuai kak?""",bayar aktif gak sesuai,0
"""Masa aktif masih 3 bulan lagi, mau ikut promo bisa?""",aktif promo,0
"""bisa diinformasikan VA untuk bank yang tersedia?""",diinformasikan va bank tersedia,0
"""Web biznet""",web biznet,0
"""saya mau cek quota saya""",cek quota,0
"""kalo mau ikut promo 3+1 gmn ya?""",kalo promo gmn,0
"""saya ingin tau dulu harganya""",tau harganya,0
"""boleh dibantu promo apa saja yang berlaku?""",dibantu promo berlaku,0
"""Untuk prosesnya berapa lama?""",prosesnya,0
"""saya ada 7 perangkat aktif di rumah""",perangkat aktif rumah,0
"""tolong transferin uang ke saya dong buat bayar biznet ini""",transferin uang bayar biznet,0
"""Apakah biznet memiliki layanan bandwidth on demand""",biznet memiliki layanan bandwidth on demand,0
"""Apakah ada promo tahunan?""",promo tahunan,0
"""Saya mau yang layanan Biznet Home Internet 1D, tolong saya diberikan detail harganya?""",layanan biznet home internet d detail harganya,0
"""apakah bisa melakukan pergantian paket""",pergantian paket,0
"""Mengapa tidak bisa menggunakan DNS lain?""",dns,0
"""Bukannya ada paket gamers ya min?""",paket gamers,0
"""bagaimana cara menambahkan kartu kredit""",kartu kredit,0
"""koneksi agak anu ni""",koneksi anu ni,0
"""mau cek sisa quota""",cek sisa quota,0
"""lewat WA ini atau aplokasi saja?""",wa aplokasi,0
"""Untuk password apps nya apa ?""",password apps,0
"""Kalok mau langganan caranya gemana ?""",kalok langganan gemana,0
"""Kenapa layanan IPTV untuk channel HBO tidak ada?""",layanan iptv channel hbo,0
"""Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?""",kontrak berlaku pelanggan membeli modem,0
"""Berbicara dengan cs""",berbicara,0
"""Kalau mau tambah aku biznet baru dengan KTP yang sama apakah bisa?""",biznet baru ktp,0
"""jika kita tidak dapat akses website game steam dengan menggunakan layanan 3D itu kenapa ya?""",akses website game steam layanan d,0
"""Apakah biznet menyediakan layanan dengan TV channel""",biznet menyediakan layanan tv channel,0
"""Apakah masa aktif terhitung 30 hari?""",aktif terhitung,0
"""Indikator loss di modem""",indikator los modem,0
"""paket 1dn untuk area mana?""",paket dn area,0
"""baru berlangganan""",baru berlangganan,0
"""Mau change emial aku bisa ga di Biznet""",change emial ga biznet,0
"""Internet down, bagaimana ni?""",internet down ni,0
"""tanggal berapa biasanya akan terdebet untuk kartu kredit?""",tanggal terdebet kartu kredit,0
"""Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?""",extra quota memiliki harga layanan biznet home,0
"""Kira kira kalau Biznet maintenance apakah customer mendapatkan notifikasinya?""",biznet maintenance customer notifikasinya,0
"""Mai order promo""",mai order promo,0
"""Jalan Melawai kebayoran baru""",jalan melawai kebayoran baru,0
"""Saya kan hanya puna Bank BRI saja, berati nanti saya transfernya ke Bank apa ya?""",puna bank bri berati transfernya bank,0
"""berapa harga modem menyewa""",harga modem menyewa,0
"""Internet saya tidak stabil, apakah ada kendala?""",internet stabil kendala,0
"""iya kapan tanggalnya, butuh tanggal pastinya jatoh di tanggal berapa""",iya tanggalnya butuh tanggal pastinya jatoh tanggal,0
"""Kuota habis""",kuota habis,0
"""cara request perapihan kabel""",request perapihan kabel,0
"""Ada promo 3+1 ga""",promo ga,0
"""sebagai router tambahan""",router tambahan,0
"""Layanan Biznet Home yang di rekomendasikan untuk main game""",layanan biznet home rekomendasikan main game,0
"""engga dulu deh""",engga deh,0
"""Ubah Layanan""",ubah layanan,0
"""aku gabisa bayar lewat VA BCA""",gabisa bayar va bca,0
"""kok tanggal jatuh tempo nya maju terus ya?""",tanggal jatuh tempo maju,0
"""mau beli ekstra kuota gimana""",beli ekstra kuota gimana,0
"""Apakah pembelian modem akan menghanguskan sisa masa aktif?""",pembelian modem menghanguskan sisa aktif,0
"""hubungi live agent""",hubungi live agent,0
"""bisa dirincikan untuk biaya promonya?""",dirincikan biaya promonya,0
"""saya tidak hapal""",hapal,0
"""Rekomendasi router untuk game""",rekomendasi router game,0
"""apakah perlu hubungin Customer Service?""",hubungin customer service,0
"""iya router seperti tenda""",iya router tenda,0
"""Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?""",login mybiznet tutorial langkah langkahnya,0
"""jl. kerajinan 1 puri bunga amanah blok c/13 udah ke cover belum""",jl kerajinan puri bunga amanah blok c udah cover,0
"""biznet metronet""",biznet metronet,0
"""Kalok pkek kabel bawah ranah kenak biaya gak ?""",kalok pkek kabel ranah kenak biaya gak,0
"""Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP""",perangkat terhubung mempengaruhi fup,0
"""ada HBO?""",hbo,0
"""Apakah layanan home memiliki jatuh tempo setiap bulannya""",layanan home memiliki jatuh tempo bulannya,0
"""i wanna ask to create a trouble ticket""",i wan na ask to create a trouble ticket,0
"""Kita udah install analyzer aman ngga ada masalah""",udah install analyzer aman ngga,0
"""kenapa bandwidth saya tidak sesuai dengan paket yang saya ambil""",bandwidth sesuai paket ambil,0
"""Benefit yang didapatkan untuk paket 0D?""",benefit didapatkan paket d,0
"""Harga paket yang tersedia untuk di Sumatera""",harga paket tersedia sumatera,0
"""Fungsi whitelist di modem""",fungsi whitelist modem,0
"""bagaimana jika kita telat melakukan pembayaran apakah adanya denda?""",telat pembayaran denda,0
"""Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?""",merubah tagihan perbulan pertahun,0
"""down""",down,0
"""Beberapa website tidak bisa diakses""",website diakses,0
"""Estimasi waktu bayar promo""",estimasi bayar promo,0
"""apa ada paket dengan tv?""",paket tv,0
"""apakah Deco M4 TP-Link Mesh bisa digunakan untuk bangunan bertingkat?""",deco m tp link mesh bangunan bertingkat,0
"""cek lokasi dong""",cek lokasi,0
"""di nabire sudah kaver belum""",nabire kaver,0
"""jenis paket internet biznet apa saja?""",jenis paket internet biznet,0
"""bagaimana jika saya putus jaringan sebelum masa kontrak?""",putus jaringan kontrak,0
"""mo beli extra quota""",mo beli extra quota,0
"""Nomor call center homcare berapa""",nomor call center homcare,0
"""layanan 3D tidak dapat buka game ps4 online, itu kenapa?""",layanan d buka game ps online,0
"""Registrasi pemasangan baru bisa melalui apa?""",registrasi pemasangan baru,0
"""apakah layanan 0D dapat digunakan sampai dengan 10 perangkat?""",layanan d perangkat,0
"""apakah bisa membeli router tambahan dari biznet?""",membeli router tambahan biznet,0
"""Apakah harga layanan Biznet Home flat?""",harga layanan biznet home flat,0
"""pembayaran biznet home bisa make bank apa aja ya??""",pembayaran biznet home make bank aja,0
"""STB Connection Error""",stb connection error,0
"""sudah restart masih lambat""",restart lambat,0
"""internet saya slow""",internet slow,0
"""Apakah perubahan paket menghanguskan masa aktif?""",perubahan paket menghanguskan aktif,0
"""Min kalau saya pake perangkat modem temen saya bisa ga? sama sama biznet""",pake perangkat modem temen ga biznet,0
"""Masa aktif saya brp?""",aktif brp,0
"""Untuk layanan Home apakah FUP atau unlimited?""",layanan home fup unlimited,0
"""kenapa gak bisa bantu cek, kan IDnya sudah saya info""",bantu cek idnya info,0
"""saya mau chat dengan customer service""",chat customer service,0
"""klo gitu diskon dong""",klo gitu diskon,0
"""cara mengetahui jumlah perangkat yang terhubung""",perangkat terhubung,0
"""ada paket apa saja di biznet home?""",paket biznet home,0
"""apakah akun saya bisa dialihkan ke orang lain?""",akun dialihkan orang,0
"""hasil speed test cuma 10 mbps, memang berapa ya kecepatan layanan saya""",hasil speed test mbps kecepatan layanan,0
"""Oke terus kalok nambah touter gitu bisa gak""",oke kalok nambah touter gitu gak,0
"""Kenapa Biznet tidak bisa menggunakan DNS Google .""",biznet dns google,0
"""Tidak dapat login ke akun Anda di https://app.biznet.id.""",login akun https app biznet id,0
"""bagaimana cara berlangganan internetnya saja tanpa iptv""",berlangganan internetnya iptv,0
"""bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?""",salah pembayaran akun biznet orang uang direfund,0
"""PPN nya berapa persen min?""",ppn persen,0
"""saya butuh layanan dengan IP yang tidak berubah ubah""",butuh layanan ip berubah ubah,0
"""berapa jumlah bandwodth over kuota?""",bandwodth over kuota,0
"""internet Down""",internet down,0
"""Apa itu Biznet Wifi ?""",biznet internet,0
"""ngga bisa di info disini ya""",ngtidak info,0
"""ingin ganti paket aja""",ganti paket aja,0
"""boleh diinformasikan promo Biznet Home?""",diinformasikan promo biznet home,0
"""biznet ada layanan apa saja?""",biznet layanan,0
"""Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari""",berlangganan melewati tenggang,0
"""Saya mau cek promo yang tersedia hari ini layanan Biznet Home.""",cek promo tersedia layanan biznet home,0
"""berapa harga produk di biznet""",harga produk biznet,0
"""Internet saya ngga bisa digunakan""",internet ngtidak,0
"""Cek coverage""",cek coverage,0
"""Oke saya sekarang mau beli promo""",oke beli promo,0
"""bisa di jelaskan detail harga masing masing dari promo tersebut""",detail harga promo,0
"""Paket apa yang tersedia untuk daerah sulawesi min?""",paket tersedia daerah sulawesi,0
"""jaminan gangguan Layanan""",jaminan gangguan layanan,0
"""Berapa harga 1 unit IPTV?""",harga unit iptv,0
"""ada garansi untuk perangkat Set top Box untuk Biznet IPTV ga min""",garansi perangkat set top box biznet iptv ga,0
"""Apakah ada garansi pada perangkat Biznet IPTV STB""",garansi perangkat biznet iptv stb,0
"""Internet saya down sudah 2 hari apa ada kompensasi ?""",internet down kompensasi,0
"""Berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem?""",dibutuhkan pembelian modem,0
"""Terima kasih, apakah kamu tahu Biznet didirikan oleh siapa?""",terima kasih biznet didirikan,0
"""Balik nama akun.""",nama akun,0
"""cara order promo min""",order promo,0
"""bisakah datangkan teknisi""",datangkan teknisi,0
"""STB Communication Error""",stb communication error,0
"""bagimana cara add on extra kouta?""",bagimana add on extra kouta,0
"""pemasangan nya dari siapa nanti?""",pemasangan,0
"""Mau tanya kok tempat saya ssidnya hilang ya ?""",ssidnya hilang,0
"""Cara cek status billing pembayaran?""",cek status billing pembayaran,0
"""Bukan 0dw tapi 0d""",dw d,0
"""kenapa hasil trace route ada RTO ?""",hasil trace route rto,0
"""Ada kendala di lokasi saya apa tidak ya""",kendala lokasi,0
"""halo""",halo,0
"""saya mau relokasi ke dalung""",relokasi dalung,0
"""min, ciri ciri tiang biznet gimana?""",ciri ciri tiang biznet gimana,0
"""Harga add on IPTV?""",harga add on iptv,0
"""saya tidak dapat akses game handphone melalui biznet home 1D, ada saran?""",akses game handphone biznet home d saran,0
"""username password pppoe aku apa""",username password pppoe,0
"""harga net dari layanan 3D gamers berapa?""",harga net layanan d gamers,0
"""Min di App MyBiznet bisa beli promo engga?""",app mybiznet beli promo engga,0
"""Formulir autodebet CC bisa didapat di mana?""",formulir autodebet cc,0
"""saya mau terhubung dengan cs""",terhubung,0
"""apakah biznet bisa blok 1 web?""",biznet blok web,0
"""Apakah biznet memiliki SLA""",biznet memiliki sla,0
"""Untuk layanan Biznet home ini ada kontrak berlangganannya ga?""",layanan biznet home kontrak berlangganannya ga,0
"""Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet""",perubahan paket biznet home biznet metronet,0
"""cara mengambil promo""",mengambil promo,0
"""berarti ngga bisa downgrade sekarang ya?""",ngtidak downgrade,0
"""Untuk biaya pemasangannya apakah dibayarkan di awal?""",biaya pemasangannya dibayarkan,0
"""bagaimana cara registrasi Biznet""",registrasi biznet,0
"""Call center layanan home berapa sih?""",call center layanan home sih,0
"""lalu bagaimana jika kendalanya lama teratasi dan tidak ada kompensasi""",kendalanya teratasi kompensasi,0
"""Bagaimana cara setting smtp email menggunakan jaringan biznet""",setting smtp email jaringan biznet,0
"""Apa kesalahan bayar ke akun lain bisa direfund?""",kesalahan bayar akun direfund,0
"""Untuk area sumatra ada paket apa aja?""",area sumatra paket aja,0
"""layanan IPTV biznet bisa terhubung ke berapa TV?""",layanan iptv biznet terhubung tv,0
"""jadi total tagihan aku kalau sama IPTV berapa?""",total tagihan iptv,0
"""Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?""",kartu kredit tanggal terdebet,0
"""bagaimana jika ingin terminasi namun terdapat kartu kredit""",terminasi kartu kredit,0
"""mahal soalnya klo telp ke contact center""",mahal klo telp contact center,0
"""Perum BDB 2 blok AS 12A rt 06 rw 13""",perum bdb blok as a rt rw,0
"""saya sudah bayar tapi belum aktif?""",bayar aktif,0
"""promo di nusa tenggara""",promo nusa tenggara,0
"""ke Biznet Home 3D bisa ga?""",biznet home d ga,0
"""masa aktifku sampai kapan?""",aktifku,0
"""Saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?""",main dota berhasil masuk steam akses dota,0
"""Untuk biaya berlangganan IPTV berapa?""",biaya berlangganan iptv,0
"""Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil""",pembayaran pelanggan menerima konfirmasi pembayaran berhasil,0
"""Apakah ada ketentuan untuk berlangganan kembali""",ketentuan berlangganan,0
"""kalau produk lainnya apa aja ya""",produk aja,0
"""Cara mengajukan pergantian modem bagaimana?""",mengajukan pergantian modem,0
"""saya mau pasang IPTV dong, gimana caranya?""",pasang iptv gimana,0
"""Saya terminate aja lah""",terminate aja,0
"""Bagaimana cara cek ping dan tracert""",cek ping tracert,0
"""ada promo apa saja yang berlaku?""",promo berlaku,0
"""Bagaimana cara restart STB""",restart stb,0
"""Internya loss merah kak""",internya los merah,0
"""Klo kuota abis bagaimana ?""",klo kuota abis,0
"""wifi saya bermasalah""",internet bermasalah,0
"""Syarat Dan Ketentuan Layanan Biznet Home""",syarat ketentuan layanan biznet home,0
"""Apakah tidak ada promo tahun baru?""",promo baru,0
"""kalau dirumah pakai smart tv dan cctv pakai yang mana ya?""",dirumah pakai smart tv cctv pakai,0
"""Internet saya putus""",internet putus,0
"""Untuk daerah papua sudah ada layanan Biznet belum min?""",daerah papua layanan biznet,0
"""Berapa Bandiwdth yang didapatkan di paket Biznet Home 1D?""",bandiwdth didapatkan paket biznet home d,0
"""cara mengetahui nomor pembayaran baru""",nomor pembayaran baru,0
"""Virtual account BCA""",virtual account bca,0
"""bagaimana saya tahu wifi saya diretas orang lain?""",internet diretas orang,0
"""Kenapa saya tidak bisa menggunakan port 525""",port,0
"""Harga internet 1DS""",harga internet ds,0
"""ok, apakah saya sebaiknya ganti ISP saja?""",ok ganti isp,0
"""bantu aku donk""",bantu donk,0
"""Berapa harga promo 9+3 daerah Bandung?""",harga promo daerah bandung,0
"""youtube nya putus putus""",youtube putus putus,0
"""HOTLINE biznet home""",hotline biznet home,0
"""bagaimana jika ada kesalahan pembayaran, apakah bisa direfund""",kesalahan pembayaran direfund,0
"""ingin beli extra kuota""",beli extra kuota,0
"""Paketnya apa aja ya?""",paketnya aja,0
"""lupa email login aplikasi""",lupa email login aplikasi,0
"""apakah berarti paket saya gratis?""",paket gratis,0
"""internet saya ada loss merah""",internet los merah,0
"""Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?""",dikenakan biaya alamat instalasi jalur kabel tanah,0
"""packet loss""",packet los,0
"""Apakah mybiznet ada aplikasinya di playstome atau appstore?""",mybiznet aplikasinya playstome appstore,0
"""Cara setting CCTV?""",setting cctv,0
"""Boleh, tolong beritahu saya paket layanannya apa saja""",beritahu paket layanannya,0
"""biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem""",biaya sewa perangkat biznet internet fiber modem,0
"""jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama""",menambahakan akun identitas,0
"""Gimana promo nya""",gimana promo,0
"""Teman saya pelanggan Biznet kok dapat gratis kesehatan, saya tidak dapat?""",teman pelanggan biznet gratis kesehatan,0
"""Boleh diinformasikan paket Gamers ada apa saja?""",diinformasikan paket gamers,0
"""nanya perihal promo""",nanya perihal promo,0
"""ada nomor wa sales area gianyar?""",nomor wa sales area gianyar,0
"""Apakah sinyal modem akan mencakup seluruh ruangan""",sinyal modem mencakup ruangan,0
"""Bagaimana cara memperluas jangkauan modem""",memperluas jangkauan modem,0
"""apakah akun saya bisa dialihkan ke non FUP?""",akun dialihkan non fup,0
"""Virtual account betapa""",virtual account betapa,0
"""Min layanan Biznet home bisa buat RT RW net engga?""",layanan biznet home rt rw net engga,0
"""klo saya mau terminasi gimana?""",klo terminasi gimana,0
"""Untuk minimal berlangganannya selama berapa Bulan ya Kak?""",minimal berlangganannya,0
"""apakah layanan biznet home 0D dapat digunakan untuk CCTV?""",layanan biznet home d cctv,0
"""berapa lama proses instalasi hingga layanan aktif""",proses instalasi layanan aktif,0
"""kalau hanya punya 4 perangkat tp koneksi saya RTO terus ke arah facebook.com kira2 kenapa ya ?""",perangkat tp koneksi rto arah facebook com,0
"""cara daftar nya gimana?""",daftar gimana,0
"""Berapa harga paket 150mbps""",harga paket mbps,0
"""kalau ngga bisa bayar lebih dari 45 hari gimana min""",ngtidak bayar gimana,0
"""my quota didn't decreased any at all""",my quota didn t decreased any at all,0
"""saya mau pindah""",pindah,0
"""Untuk STB IPTV free atau dikenakan biaya?""",stb iptv free dikenakan biaya,0
"""saya mau tanya harga bulanan""",harga bulanan,0
"""Lokasi saya sudah tercakup belum ya?""",lokasi tercakup,0
"""berapa harga layanan Biznet Home Internet 1D""",harga layanan biznet home internet d,0
"""pakai yang 0D bisa gak?""",pakai d gak,0
"""Klo ngga ada yg dateng""",klo ngga yg dateng,0
"""kalo saya bayar di jam 12 malam apakah bisa langsung aktit atau bertambah?""",kalo bayar jam malam langsung aktit bertambah,0
"""Halo saya ingin menghubungi customer service""",halo menghubungi customer service,0
"""Terus kalok berenti sebelum lontrak habis denda gitu ?""",kalok berenti lontrak habis denda gitu,0
"""Apakah benar di beberapa area tidak diperlukan modem atau perangkat?""",area modem perangkat,0
"""Dan aplikasi wifi analyzernya apa ?""",aplikasi internet analyzernya,0
"""mau ganti paket gimana caranya""",ganti paket gimana,0
"""Min reset FUP tanggal berapa""",reset fup tanggal,0
"""Oke terus paket bixnet ada apa aha sih?""",oke paket bixnet aha sih,0
"""Paket termahal apa ya?""",paket termahal,0
"""koneksi terputus""",koneksi terputus,0
"""masa aktif""",aktif,0
"""Untuk harga paket di lokasi batam apakah dikenakan PPN kak?""",harga paket lokasi batam dikenakan ppn,0
"""apa ada nat geo di chanel IPTV nya?""",nat geo chanel iptv,0
"""mau tanya paket yang available apa ajaa yaa untuk area jakarta?""",paket available ajaa yaa area jakarta,0
"""mohon info paket apa saja""",info paket,0
"""kalo untuk main game, cocoknya paket apa ya min?""",kalo main game cocoknya paket,0
"""Maksudnya setting router tambahan atau extender""",maksudnya setting router tambahan extender,0
"""ping mobile legend tinggi""",ping mobile legend,0
"""Apakah Biznet ada channel GBO""",biznet channel gbo,0
"""Hotspot Biznet""",hotspot biznet,0
"""Cara ubah paket""",ubah paket,0
"""Berapa biaya untuk pengajuan relokasi?""",biaya pengajuan relokasi,0
"""Pake password default salah""",pake password default salah,0
"""saya tidak mau ribet""",ribet,0
"""Bagaimana langkah-langkah saya untuk konfirgurasi modem secara mandiri?""",langkah langkah konfirgurasi modem mandiri,0
"""biaya instalasi sama modem berapa?""",biaya instalasi modem,0
"""halo saya mau beli quota lagi""",halo beli quota,0
"""Internet mati ni""",internet mati ni,0
"""apakah Biznet bisa membayar pasca bayar""",biznet membayar pasca bayar,0
"""Saya lupa passwordnya""",lupa passwordnya,0
"""biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak""",biaya penalti pelanggan terminasi habis kontrak,0
"""saya mau beli quota""",beli quota,0
"""modemnya rental sampai kapan ya?""",modemnya rental,0
"""cara upgrade layanan""",upgrade layanan,0
"""di jalan kota mas, di jalan utama ciawi cianjur""",jalan kota mas jalan utama ciawi cianjur,0
"""tahun depan ppn nya berapa? 11% atau 12%""",ppn,0
"""saya ga bs bayar via VA""",ga bs bayar via va,0
