question_list,clean_question,label
"""apakah jika saya pindah ke malaysia jaringan Biznet saya bisa ikut dipindah?""",pindah malaysia jaringan biznet dipindah,1
"""Biaya pasang baru biznet berapa ?""",biaya pasang baru biznet,1
"""Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?""",pasang kebutuhan orang paket cocok,1
"""Saya ingin melakukan relokasi, namun untuk lokasi baru saya belum tercakup jaringan internet biznet, apa yang harus saya lakukan?""",relokasi lokasi baru tercakup jaringan internet biznet lakukan,1
"""apakah bisa mengganti email dan nomor hp di kaun?""",mengganti email nomor hp kaun,1
"""bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?""",bilamana alamat baru tercakup layanan biznet syarat terminasi,1
"""Apakah layanan Biznet bisa diganti kepemilikan?""",layanan biznet diganti kepemilikan,1
"""jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana?""",daftar biznet kosan baiknya layanan,1
"""bagaimana cara melakukan pergantian password pada akun MyBiznet""",pergantian password akun mybiznet,1
"""Kalau begitu cara pendaftaran layanan Biznet Home bagai mana?""",pendaftaran layanan biznet home,1
"""Biaya relokasi layanan Biznet Home berapa kak?""",biaya relokasi layanan biznet home,1
"""Saya ingin ganti paket ke Gamers 3D""",ganti paket gamers d,1
"""saya mau ganti paket ke yg lebih murah gimana caranya?""",ganti paket yg murah gimana,1
"""mau pindah modem cuman geser dikit gimana caranya""",pindah modem cuman geser dikit gimana,1
"""apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?""",request pemisahan akun akun terdaftar billing pembayaran,1
"""apakah teknisi biznet bisa setting router tambahan saya?""",teknisi biznet setting router tambahan,1
"""tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di Biznet?""",tanggal pembayaran auto debet kartu kredit terdaftar biznet,1
"""apakah pergantian layanan menghanguskan sisa masa aktif?""",pergantian layanan menghanguskan sisa aktif,1
"""apakah biznet ada sistem kontrak untuk pemasangan baru?""",biznet sistem kontrak pemasangan baru,1
"""proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?""",proses penjadwalan instalasi aktivasi relokasi membutuhkan,1
"""cara cek tanggal reset kuota?""",cek tanggal reset kuota,1
"""Apakah bisa mengganti nama menggunakan nama PT?""",mengganti nama nama pt,1
"""Biaya yang timbul akibat relokasi""",biaya timbul akibat relokasi,1
"""apakah ganti paket akan mengakumulasikan masa aktif yang sedang berjalan?""",ganti paket mengakumulasikan aktif berjalan,1
"""Ingin pasang baru di jonggol paket 0d""",pasang baru jonggol paket d,1
"""saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?""",pindah jakarta bali relokasi,1
"""kalau saya ingin ganti paket, paket mana saja yang bsia saya gunakan""",ganti paket paket bsia,1
"""Bagaimana apabila alamat baru tidak tercakup untuk relokasi?""",alamat baru tercakup relokasi,1
"""Langsung aja kirim teknisi""",langsung aja kirim teknisi,1
"""bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?""",bilamana alamat baru tercakup layanan biznet akun dialihkan orang,1
"""bisa diinformasikan untuk reset kouta setiap tanggal berapa?""",diinformasikan reset kouta tanggal,1
"""Oke kalok mai ganti pw wifi ?""",oke kalok mai ganti pw internet,1
"""apa saja syarat untuk pergantian nama akun biznet?""",syarat pergantian nama akun biznet,1
"""cara merubah e-mail terdaftar""",merubah e mail terdaftar,1
"""apakah quota tambahan akan hangus jika FUP utama sudah reset?""",quota tambahan hangus fup utama reset,1
"""tanggal berapa biasanya akan terdebet untuk kartu kredit yang terdaftar di biznet?""",tanggal terdebet kartu kredit terdaftar biznet,1
"""Bisa ga kalo saya ganti paket layanan dibawahnya?""",ga kalo ganti paket layanan dibawahnya,1
"""apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?""",pergantian email nomor telepon terdaftar mengisi form pergantian data,1
"""apakah jika dilakukan perbaikan teknisi ke lokasi dikenakan biaya""",perbaikan teknisi lokasi dikenakan biaya,1
"""Saya tidak bisa bayat, Infonya no anda tidak terdaftar,""",bayat infonya no terdaftar,1
"""Kalau terdaftar autodebet bagaimana langkah untuk terminasi?""",terdaftar autodebet langkah terminasi,1
"""harga pasang baru di lokasi sama min""",harga pasang baru lokasi,1
"""bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?""",penambahan layanan pemasangan lokasi baru,1
"""saya mau pasang iptv, berapa harga untuk pemasangan paket iptv?""",pasang iptv harga pemasangan paket iptv,1
"""Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?""",ip terganti restart modem layanan bizne home,1
"""Bagaimana cara ganti ssid dan password wifi?""",ganti ssid password internet,1
"""Min saya sewa modem biznet, tapi pengen ganti modem baru bisa engga?""",sewa modem biznet pengen ganti modem baru engga,1
"""saya mau yg gamers, apa bisa di pasang di toko saya?""",yg gamers pasang toko,1
"""Saya ada keperluan ganti paket tapi masih panjang masa aktifnya, apakah bisa diproses sekarang?""",keperluan ganti paket aktifnya diproses,1
"""Kalau dalam waktu 1x24 jam tidak ada kunjungan tim teknisi, apakah akan ada kompensasi?""",x jam kunjungan tim teknisi kompensasi,1
"""Untuk estimasi kunjungan perbaikan dengan teknisi berapa lama?""",estimasi kunjungan perbaikan teknisi,1
"""saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?""",mengganti password internet mandiri,1
"""Pengen ganti paket 25 Mbps ada ga?""",pengen ganti paket mbps ga,1
"""Saya ingin melakukan pergantian data nama akun, sayarat nya bisa diinformasikan apa saja?""",pergantian data nama akun sayarat diinformasikan,1
"""Saya ingin mengganti data pada akun layanan saya, bisa dibantu?""",mengganti data akun layanan dibantu,1
"""Jika ingin reloksi ke alamat barun dan alamat baru saya sudah tercakup, syaratnya apa saja?""",reloksi alamat barun alamat baru tercakup syaratnya,1
"""apa bisa mendaftarkan autodebet untuk pembayaran biznet?""",mendaftarkan autodebet pembayaran biznet,1
"""Kalau ganti nama akun, ada biaya nya engga?""",ganti nama akun biaya engga,1
"""saya ingin pasang baru alkun tambahan""",pasang baru alkun tambahan,1
"""Bagaimana cara ubah alamat Email terdaftar kak?""",ubah alamat email terdaftar,1
"""Kalo ganti paket gimana?""",kalo ganti paket gimana,1
"""Cara ganti password secara mandiri gmna""",ganti password mandiri gmna,1
"""Apakah saya bisa datang langsung datang ke cabang Biznet terdekat dari lokasi saya untuk menanyakan terkait ingin melakukan pendaftaran jaringan internet Biznet dirumah saya?""",langsung cabang biznet terdekat lokasi terkait pendaftaran jaringan internet biznet dirumah,1
"""Coba cek sama minta teknisi cek ke rumah""",coba cek teknisi cek rumah,1
"""layanan apa ya kalo saya mau pasang IPTV yang cocok?""",layanan kalo pasang iptv cocok,1
"""Berapa lama IP Biznet Home terganti""",ip biznet home terganti,1
"""ok, kalau tempat saya untuk rt rw net apa bisa dipasang?""",ok rt rw net dipasang,1
"""teman saya ada pakai biznet metronet, apa bisa dipasang biznet iptv di akunnya?""",teman pakai biznet metronet dipasang biznet iptv akunnya,1
"""bisa dibantu informasikan prosedur pergantian paket layanan?""",dibantu informasikan prosedur pergantian paket layanan,1
"""cara pasang baru, di JL PULAU SULAWESI""",pasang baru jl pulau sulawesi,1
"""apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?""",modem biznet diganti modem beli,1
"""apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?""",pergantian paket layanan bundling promo tahunan,1
"""Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi""",reminder tagihan mengajukan relokasi,1
"""saya cek udah tercover, saya bisa ajukan sendiri atau perlu oleh customer ya?""",cek udah tercover ajukan customer,1
"""saya mau pasang baru dengan beli modem dan paket Biznet Home 3D""",pasang baru beli modem paket biznet home d,1
"""Hallo siang, saya mau berhenti berlangganan karena mau pindah alamat""",hallo siang berhenti berlangganan pindah alamat,1
"""Mau tau cara ganti password wifi gimana ya?""",tau ganti password internet gimana,1
"""daftar biznet hom e""",daftar biznet hom e,1
"""Cara ganti password mandiri gimana?""",ganti password mandiri gimana,1
"""apakah modem biznet support 6G?""",modem biznet support g,2
"""Oke lalu kalok modem saya los merah saya harus apa ?""",oke kalok modem los merah,2
"""ara Mempercepat Jaringan WiFi Biznet""",ara mempercepat jaringan internet biznet,2
"""Min internet dirumah indikator LOS nya merah, kenapa ya?""",internet dirumah indikator los merah,2
"""Rekomendasi perangkat tambahan untuk memperluas jangkauan wifi apakah ada?""",rekomendasi perangkat tambahan memperluas jangkauan internet,2
"""saya ada kendala internet dilokasi tidak bisa digunakan dan ada loss merah""",kendala internet dilokasi los merah,2
"""halo internet saya down sejak semalam""",halo internet down semalam,2
"""saya beli modem waktu itu dan tidak ada penjelasan kontrak""",beli modem penjelasan kontrak,2
"""Biznet Home, internet DOWN""",biznet home internet down,2
"""estimasi perbaikan kendala area sampai kapan?""",estimasi perbaikan kendala area,2
"""apakah ada pengeblokan port internet untuk layanan Biznet ?""",pengeblokan port internet layanan biznet,2
"""Internet saya lambat bandwidthnya tidak sesuai""",internet lambat bandwidthnya sesuai,2
"""bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?""",lihat perangkat terhubung modem,2
"""Berapa jarak jangkauan signal wifi 2,4 Ghz?""",jarak jangkauan signal internet ghz,2
"""kenapa wifi 5G saya suka tidak terdetect?""",internet g suka terdetect,2
"""Kendala internet slow, gimana nih""",kendala internet slow gimana,2
"""kenapa koneksi internet saya putus nyambung?""",koneksi internet putus nyambung,2
"""Indikator modem huwawei saya berwarna merah""",indikator modem huwawei berwarna merah,2
"""Mau tanya, kalo ini pingnya sesuai ga?""",kalo pingnya sesuai ga,2
"""Bagaimana cara cek ping dan tracert apabila ada kendala akses website?""",cek ping tracert kendala akses website,2
"""Internet di lokasi lama buat main mobile legends""",internet lokasi main mobile legends,2
"""Layanan saya terkendala down, estimasi perbaikannya kapan ya?""",layanan terkendala down estimasi perbaikannya,2
"""Kalau tidak ada lampu merah LOS, namun lampu PON berkedip, apa yang harus saya lakukan?""",lampu merah los lampu pon berkedip lakukan,2
"""Bisa dititalin untuk Biznet Home 3D? beli modem""",dititalin biznet home d beli modem,2
"""apakah jika modem rusak bisa diganti dengan yang baru?""",modem rusak diganti baru,2
"""pada modem saya lampu merah menyala sejak pagi, bisa dicek?""",modem lampu merah menyala pagi dicek,2
"""Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?""",internet lambat dibantu dioptimalkan,2
"""kenapa koneksi saya sering RTO ketika akses beberapa website?""",koneksi rto akses website,2
"""Apakah Terdapat Garansi pada Perangkat Smart Internet WiFi ?""",garansi perangkat smart internet internet,2
"""kenapa koneksi internet saya up down?""",koneksi internet up down,2
"""Apakah dikenakan biaya jika ingin downgrade layanan?""",dikenakan biaya downgrade layanan,2
"""Internet saya down bisa di bantu cek?""",internet down bantu cek,2
"""kalo internet lambat gmn ceknya""",kalo internet lambat gmn ceknya,2
"""internet saya lampu los berkedip, itu kenapa ya?""",internet lampu los berkedip,2
"""Jika saya melakukan pembelian modem apakah biaya sewa yang selama ini dikenakan akan hilang? dan apa keuntungan yang pelanggan dapatkan dari melakukan pembelian modem?""",pembelian modem biaya sewa dikenakan hilang keuntungan pelanggan dapatkan pembelian modem,2
"""min kendala ke facebook berikut hasil tracert : Tracing route to facebook.com [31.13.95.35]\nover a maximum of 30 hops:\n\n  1     1 ms    <1 ms    <1 ms  192.168.240.1\n  2     1 ms     2 ms     1 ms  172.16.4.2\n  3     3 ms     5 ms     3 ms  202.169.33.1\n  4     3 ms     3 ms     3 ms  182.253.255.90\n  5     3 ms     6 ms     3 ms  ae0.pr03.cgk1.tfbnw.net [157.240.86.242]\n  6     2 ms     2 ms     2 ms  po203.asw02.cgk1.tfbnw.net [129.134.39.48]\n  7     2 ms     2 ms     3 ms  psw01.cgk1.tfbnw.net [129.134.58.47]\n  8     2 ms     2 ms     2 ms  msw1ag.02.cgk1.tfbnw.net [129.134.91.183]\n  9     2 ms     2 ms     2 ms  edge-star-mini-shv-02-cgk1.facebook.com [31.13.95.35]""",kendala facebook hasil tracert tracing route to facebook com nover a maximum of hops n n ms ms ms n ms ms ms n ms ms ms n ms ms ms n ms ms ms ae pr cgk tfbnw net n ms ms ms po asw cgk tfbnw net n ms ms ms psw cgk tfbnw net n ms ms ms msw ag cgk tfbnw net n ms ms ms edge star mini shv cgk facebook com,2
"""kenapa koneksi inet saya lemot banget ya?""",koneksi inet lambat banget,2
"""udah restart msh lemot""",udah restart msh lambat,2
"""Apakah Biznet menyediakan layanan internet untuk sekolah?""",biznet menyediakan layanan internet sekolah,2
"""Bisa informasikan bandwidth yang didapatkan apabila berlangganan Home Internet 1D?""",informasikan bandwidth didapatkan berlangganan home internet d,2
"""apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?""",proses pergantian paket layanan apps mybiznet kendala salah order dicancel,2
"""Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?""",garansi pergantian modem kerusakan baru pembelian modem,2
"""Kabel fiber saya ada yang putus kak, saya harus gimana ya?""",kabel fiber putus gimana,2
"""jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?""",router external rusak dibantu sisi biznet,2
"""Halo internet saya down sejak kemarin bisa di cek""",halo internet down kemarin cek,2
"""Boleh di bantu kendala internet down""",bantu kendala internet down,2
"""Saya membutuhkan layanan internet dengan penggunaan IP Static apakah Biznet menyediakan?""",membutuhkan layanan internet penggunaan ip static biznet menyediakan,2
"""Apakah biznet menyediakan wifi portable?""",biznet menyediakan internet portable,2
"""ow gitu coy, kalo masih lambat gimana""",ow gitu coy kalo lambat gimana,2
"""bagaimana cara membatasi penggunaan koneksi di modem biznet""",membatasi penggunaan koneksi modem biznet,2
"""lampu modem loss merah""",lampu modem los merah,2
"""kenapa sih jaringan saya suka terputus sambung?""",sih jaringan suka terputus sambung,2
"""Halo internet saya down bisa di cek?""",halo internet down cek,2
"""apakah biznet menyediakan modem wireless?""",biznet menyediakan modem wireless,2
"""Apakah kabel indihome lama bisa di pakai untuk kabel internet?""",kabel indihome pakai kabel internet,2
"""Kalau Saya mendapatkan Ping tinggi karena lambat apakah bisa dilakukan visit langsung?""",ping lambat visit langsung,2
"""lambat banget main ayodance""",lambat banget main ayodance,2
"""ngga bisa kirim email pakai internet biznet""",ngtidak kirim email pakai internet biznet,2
"""garansi untuk perangkat Biznet WiFi Fiber Modem""",garansi perangkat biznet internet fiber modem,2
"""Internet saya ga gacor nih lambat mulu""",internet ga gacor lambat mulu,2
"""Lokasi desa ketumping udah kofer blm""",lokasi desa ketumping udah kofer blm,2
"""Mengapa layanan biznet Home sering terjadi kendala area?""",layanan biznet home kendala area,2
"""bisa dicek ID pelanggan ini 1000308564 los merah menyala?""",dicek id pelanggan los merah menyala,2
"""Cara Mengatasi WiFi Biznet Lemot""",mengatasi internet biznet lambat,2
"""Bisa informasikan bandwidth yang diterima Home Internet 1D?""",informasikan bandwidth diterima home internet d,2
"""bagaimana cek ping dan tracert aplikasi di android?""",cek ping tracert aplikasi android,2
"""Cara memblokir pengguna wifi gimana""",memblokir pengguna internet gimana,2
"""jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?""",kabel modem putus karna digigit tikus perbaikannya berbayar,2
"""Saya gapunya laptop, bisa tolong ping ke google.com?""",gapunya laptop ping google com,2
"""Biznet ada layanan free wifi di tempat umum ga?""",biznet layanan free internet ga,2
"""apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?""",kompensasi koneksi internet biznet terputus berhari,2
"""Apakah bisa downgrade layanan dari Biznet Metronet ke Biznet Home?""",downgrade layanan biznet metronet biznet home,2
"""Di modem saya ada los merah nih, harus ngapain ya?""",modem los merah ngapain,2
"""Kalo beli modem beraps""",kalo beli modem beraps,2
"""internet lambat sekali, ada saran mengatasinya?""",internet lambat saran mengatasinya,2
"""Biznet Smart Internet WiFi""",biznet smart internet internet,2
"""apakah akan dikenakan denda jika ada keterlambatan pembayaran""",dikenakan denda keterlambatan pembayaran,2
"""Perbedaan wifi 5 dan wifi 6 modem ?""",perbedaan internet internet modem,2
"""kenapa jaringan saya suka up down dalam beberapa hari terakhir?""",jaringan suka up down,2
"""apakah biznet ada kompensasi jika internet saya mati berhari2?""",biznet kompensasi internet mati berhari,2
"""Internet Saya Down loss merah""",internet down los merah,2
"""Kalau karena internet lambat apakah ada penalty untuk terminasi?""",internet lambat penalty terminasi,2
"""kalo internet saya sering lamabt knp?""",kalo internet lamabt knp,2
"""CCTV saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.""",cctv berfungsi koneksi biznet koneksi kendala,2
"""Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2""",kendala login app biznet ganti password ntidak masuk,2
"""Untuk layanan internet dan TV d biznet apaan aja?""",layanan internet tv d biznet aja,2
"""los merah menyala sejak pagi""",los merah menyala pagi,2
"""Apakah layanan Biznet Home upload dan downloadnya simetris""",layanan biznet home upload downloadnya simetris,2
"""Internet saya down sejak semalam bisa di bantu?""",internet down semalam bantu,2
"""total setelah ppn dan beli modem""",total ppn beli modem,2
"""Internet saya terputus putus tiap malam""",internet terputus putus malam,2
"""Apakah modem Biznet sudah support wifi 6 ?""",modem biznet support internet,2
"""Jangkauan sinyal wifi biznet optimalnya berapa?""",jangkauan sinyal internet biznet optimalnya,2
"""Saya mau yang layanan Home internet 1D""",layanan home internet d,2
"""Internet saya up and down""",internet up and down,2
"""Min Biznet ada perangkat buat memperluas jangkauan Wifi engga?""",biznet perangkat memperluas jangkauan internet engga,2
"""Cara download aplikasi my biznet dimana""",download aplikasi my biznet dimana,2
"""iya kendala bayar, karena uangnya belum ada, gimana nih bot""",iya kendala bayar uangnya gimana bot,2
"""min sewa sama beli modem bedanya apa""",sewa beli modem bedanya,2
"""kendala jaringan internet modem los merah""",kendala jaringan internet modem los merah,2
"""Kenapa speed upload dan download jaringan internet biznet saya tidak simetris?""",speed upload download jaringan internet biznet simetris,2
"""Kendala internet loss merah""",kendala internet los merah,2
"""Berikan alasan keapa kunjungan visit saya melebihi estimasi 1x24 jam atas kendala internet down?""",alasan keapa kunjungan visit melebihi estimasi x jam kendala internet down,2
"""Kalau ada kabel yang terputus, berapa lama tim teknisi akan datang melakukan perbaikan?""",kabel terputus tim teknisi perbaikan,2
"""Internet saya untuk bermain game genshin impact ping tinggi, apakah ada solusi?""",internet bermain game genshin impact ping solusi,2
"""apakah kita dapat masuk ke pengaturan modem pribadi?""",masuk pengaturan modem pribadi,2
"""Jika saya tetap menggunakan modem dengan skema, dan terjadi kerusakan pada modem, apakah bisa dilakukan perbaikan atau pergantian untuk modemnya?""",modem skema kerusakan modem perbaikan pergantian modemnya,2
"""Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?""",layanan internet lambat diinformasikan penyebab solusinya,2
"""Halo internet saya down bisa di bantu cek?""",halo internet down bantu cek,2
"""Bisa dibantu ping ke google.com?""",dibantu ping google com,2
"""ini juga koneksi internetnya putus nyambung""",koneksi internetnya putus nyambung,2
"""koneksi dirumah saya lemot yah""",koneksi dirumah lambat yah,2
"""Ada garansi untuk perangkat *TP-Link Deco M4 Smart Internet Mesh WiFi* setelah pembelian ga""",garansi perangkat tp link deco m smart internet mesh internet pembelian ga,2
"""Estimasi kendala internet down untuk kunjungan berapa lama?""",estimasi kendala internet down kunjungan,2
"""Cara Mempercepat Jaringan WiFi Biznet""",mempercepat jaringan internet biznet,2
"""internet saya slow pas beut nich. ads yang bisa tangani gk kawan?""",internet slow pas beut nich ads tangani gk kawan,2
"""Min tolong kirimkan teknisi kelokasi, modem saya LOS""",kirimkan teknisi kelokasi modem los,2
"""layanan saya Biznet 3D, saat akses game cukup lambat, namun akses youtube normal, ada solusinya ga?""",layanan biznet d akses game lambat akses youtube normal solusinya ga,2
"""Siang, saya Ganjar saya mau berlangganan layanan internet dan TV untuk dirumah saya. Di Biznet ini layanannya apa saja ya?""",siang ganjar berlangganan layanan internet tv dirumah biznet layanannya,2
"""saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?""",tetangga internetnya biznetnya mati,2
